EpisodeID,StartDate,EndDate,CalendarTradingSpan,HighStressHits,PeakStressDate,PeakGeometryStress,PeakStressPercentile,PeakTransitionDate,PeakTransitionScore,PeakTransitionPercentile,MinSigmaMin,MaxConditionNumber,MaxRotationDeg
36,2018-09-06,2018-09-11,4,4,2018-09-10,3.069686038,100,2018-09-10,2.488684846,99.6031746,0.1507767068,11.47932036,39.88058361
37,2018-09-21,2018-09-25,3,2,2018-09-25,1.729215624,98.80952381,2018-09-25,1.320083621,97.61904762,0.1998062483,7.148763833,33.28441812
38,2018-12-21,2019-01-09,12,12,2018-12-26,2.166946632,99.20634921,2018-12-26,1.065110136,95.63492063,0.1510172127,15.69794423,18.38899662
39,2019-03-21,2019-03-26,4,3,2019-03-25,1.82110284,97.22222222,2019-03-21,0.9952290554,96.42857143,0.1153814286,20.25650864,7.351688676
40,2019-04-02,2019-04-25,17,11,2019-04-16,2.258159088,99.6031746,2019-04-11,0.8679274277,94.84126984,0.07824975998,33.69484543,12.3814282
41,2019-06-10,2019-06-11,2,2,2019-06-10,2.322427175,99.6031746,2019-06-11,1.375279903,99.20634921,0.07033514838,23.14184532,29.9856785
42,2020-03-16,2020-03-25,8,5,2020-03-23,4.368349331,100,2020-03-23,5.417416947,100,0.04405982055,68.52276244,87.00427978
43,2020-11-12,2020-11-13,2,2,2020-11-13,1.562015196,97.61904762,2020-11-12,1.702429553,96.42857143,0.1394355305,26.90756455,44.07920761
44,2021-04-16,2021-04-19,2,2,2021-04-19,1.431907384,99.20634921,2021-04-19,1.120819592,95.63492063,0.3187119287,32.18292733,25.07762157
45,2021-07-30,2021-08-03,3,3,2021-08-02,1.90453167,100,2021-08-02,3.2049099,100,0.2579470982,12.22018319,49.45581861
46,2021-09-20,2021-09-30,9,7,2021-09-28,1.375951822,98.41269841,2021-09-21,1.530118546,97.61904762,0.1756432714,21.67432358,25.84495249
47,2021-10-22,2021-10-25,2,2,2021-10-25,1.070703201,97.22222222,2021-10-25,0.4840983261,81.34920635,0.2522826537,20.87508535,20.02178872
48,2021-11-03,2021-11-05,3,3,2021-11-04,1.461329273,98.80952381,2021-11-04,0.584652437,83.73015873,0.2026181599,26.78113129,22.24579309
49,2021-11-18,2021-11-26,6,6,2021-11-18,2.040575996,100,2021-11-18,1.115862605,95.23809524,0.08811897579,52.32936685,22.62272078
50,2023-11-17,2023-12-01,10,7,2023-11-20,2.766020647,100,2023-11-20,3.128532703,100,0.259514791,19.60929541,48.40948186
51,2024-01-24,2024-01-30,5,5,2024-01-25,1.293474042,98.41269841,2024-01-25,1.324290596,96.82539683,0.1447695927,13.59078959,8.049018493
52,2024-02-08,2024-02-21,9,9,2024-02-16,1.461523779,98.41269841,2024-02-14,0.9551142955,89.28571429,0.1000907043,18.49457543,7.289802907
53,2024-02-28,2024-03-01,3,3,2024-02-29,2.056376268,99.6031746,2024-02-29,0.7994331452,85.71428571,0.1005642128,18.24680688,18.44230662
54,2025-04-11,2025-04-30,13,11,2025-04-16,2.747821653,99.6031746,2025-04-16,2.864958516,99.6031746,0.08366306335,30.60075422,41.42223248
55,2025-06-20,2025-06-25,4,4,2025-06-23,2.015562863,98.41269841,2025-06-23,1.058468711,96.03174603,0.0662514536,28.43048891,18.52852343
