EventID,Date,TransitionScore,TransitionPercentile,GeometryStress,GeometryStressPercentile,SPY_Drawdown20D,SPY_Drawdown60D,SigmaMin,ConditionNumber,WeakDirectionRotationDeg,StateClass,SPY_ReturnAfter5D,SPY_WorstAfter5D,SPY_ReturnAfter10D,SPY_WorstAfter10D,SPY_ReturnAfter20D,SPY_WorstAfter20D,SPY_ReturnAfter40D,SPY_WorstAfter40D
20,2013-09-04,1.725025603,99.6031746,1.468410048,88.88888889,-0.02385142474,-0.03041839092,0.1420511118,29.42870808,22.87858196,PRECURSOR,0.02202086025,0.001266948304,0.04404240966,0.001266948304,0.02566913433,0.001266948304,0.06877396116,0.001266948304
21,2013-11-14,1.308316527,98.01587302,0.4063059805,47.61904762,0,0,0.233011987,8.37511481,21.34928841,PRECURSOR,0.003569716105,-0.004463228671,0.009650223275,-0.004463228671,-0.00647069924,-0.00647069924,0.03010614189,-0.00647069924
22,2014-11-12,1.852654741,100,2.420729707,100,-0.001077387757,-0.001077387757,0.08893052681,21.75110563,29.32164301,IN_STRESS,0.006177596876,0.001127636943,0.01804255815,0.001127636943,0.001127636943,-0.00392232299,-0.0009390298863,-0.02966262968
23,2015-01-05,1.348200176,99.20634921,-0.8003970546,13.0952381,-0.03353783366,-0.03353783366,0.2790393502,8.531858467,4.931392085,PRECURSOR,0.004610513061,-0.009418922789,0.001685558165,-0.01338482861,0.01546709654,-0.01338482861,0.04218739392,-0.01338482861
24,2015-02-06,2.44363298,100,0.9432170844,96.03174603,-0.002765277915,-0.01518794716,0.174769151,18.43327546,12.81826654,IN_STRESS,0.02057893127,-0.004475626295,0.02753605465,-0.004475626295,0.01367069799,-0.004475626295,0.01291803469,-0.005107863375
25,2015-03-12,2.492090173,100,2.396275702,99.6031746,-0.02306718625,-0.02306718625,0.1634361255,21.18417947,24.49691582,IN_STRESS,0.01158845874,-0.006132243663,-0.004412247132,-0.006132243663,0.01872292596,-0.006132243663,0.0263860675,-0.006132243663
26,2015-07-01,2.133453859,98.80952381,3.858259225,99.6031746,-0.02141127981,-0.02337535114,0.03765116256,63.19760586,50.73230383,IN_STRESS,-0.01253018453,-0.0143135199,0.02313238416,-0.0143135199,0.01600001146,-0.0143135199,-0.03966248282,-0.0974939276
27,2016-03-01,2.07237434,99.20634921,2.015369642,96.03174603,0,-0.04928445153,0.1016490483,29.72391264,38.75949638,IN_STRESS,0.001463861856,0.001463861856,0.02049388157,0.001463861856,0.04529127688,0.001463861856,0.06218712642,0.001463861856
28,2016-05-23,1.461498092,98.01587302,-0.1535041041,53.57142857,-0.01977613353,-0.02327495378,0.2012232454,9.799757172,9.397814174,PRECURSOR,0.0225623512,0.01296253038,0.03152890467,0.01296253038,0.02102222403,0.0116173764,0.06339370392,-0.02227919324
29,2016-07-12,2.176514979,100,2.155356359,99.6031746,0,0,0.09821386469,26.31136418,30.49184903,IN_STRESS,0.005768759614,-0.0001393396292,0.008373960154,-0.0001393396292,0.01502692649,-0.0001393396292,0.01888834975,-0.0001393396292
30,2017-03-14,1.896278039,99.6031746,0.8505163087,88.49206349,-0.01201109076,-0.01201109076,0.4723765147,9.400349998,33.48528975,PRECURSOR,-0.009089036957,-0.009089036957,-0.002348100883,-0.0095553814,-0.003450273716,-0.0095553814,0.01694171994,-0.01426115724
31,2017-05-17,2.402017479,100,1.189144246,96.42857143,-0.01864327282,-0.01864327282,0.4646135306,3.587736253,55.33547682,IN_STRESS,0.02031203763,0.004028532708,0.03197360386,0.004028532708,0.03371222695,0.004028532708,0.04638060804,0.004028532708
32,2017-06-16,1.8195729,98.80952381,0.6754675367,81.74603175,-0.002971560662,-0.002971560662,0.1758020673,14.23934719,14.65210211,PRECURSOR,0.00201916741,0.0008241350987,-0.003461873757,-0.005398989277,0.01191038093,-0.008613695435,0.01607302293,-0.008613695435
33,2018-01-04,1.484067143,98.80952381,1.295437195,100,0,0,0.3030912357,9.462547584,26.6491803,IN_STRESS,0.016604961,0.006664151374,0.03239965226,0.006664151374,0.01413799625,0.006664151374,0.002135740903,-0.05147068263
34,2018-03-27,3.339209422,100,2.450554087,100,-0.06177162796,-0.08701320008,0.1734636262,9.367038562,38.59280669,IN_STRESS,0.0113584898,-0.01201096218,0.01212562048,-0.01201096218,0.0116269321,-0.01201096218,0.04896357011,-0.01201096218
35,2018-09-10,2.488684846,99.6031746,3.069686038,100,-0.01159625104,-0.01159625104,0.1507767068,11.47932036,39.88058361,IN_STRESS,0.004304065357,0.003297589766,0.0147078791,0.003297589766,0.00355074898,0.003297589766,-0.04676290616,-0.07999130676
36,2019-06-11,1.375279903,99.20634921,2.118441614,97.61904762,-0.0002417709907,-0.01744695855,0.07033514838,23.14184532,26.06306866,IN_STRESS,0.01211450758,-0.001765577285,0.01133294147,-0.001765577285,0.03863719722,-0.001765577285,0.001628497561,-0.01280590159
37,2019-09-30,1.59334299,100,1.032931846,72.22222222,-0.01045362744,-0.01281274886,0.127397297,13.80047638,20.56687297,PRECURSOR,-0.01243374158,-0.02934929848,-0.002762801815,-0.02934929848,0.02200344247,-0.02934929848,0.05593579478,-0.02934929848
38,2019-12-05,1.352262693,99.20634921,-0.09204754052,28.17460317,-0.01096763161,-0.01096763161,0.1718406427,8.272368476,11.95427913,PRECURSOR,0.01637757432,0.004839755171,0.02846014087,0.004839755171,0.04234117184,0.004839755171,0.05979702658,0.004839755171
39,2020-03-23,5.417416947,100,4.368349331,100,-0.2831907966,-0.3371726275,0.05411138999,64.93170665,87.00427978,IN_STRESS,0.1735815258,0.09060321619,0.1879792672,0.09060321619,0.2246692743,0.09060321619,0.3095763345,0.09060321619
40,2021-03-25,1.713197715,99.20634921,1.05248855,96.42857143,-0.0158172928,-0.0158172928,0.83316958,10.76639817,56.09998941,IN_STRESS,0.02799556539,0.01290733466,0.05591480266,0.01290733466,0.06938627507,0.01290733466,0.06476759022,0.01290733466
41,2021-08-02,3.2049099,100,1.90453167,100,-0.007777417144,-0.007777417144,0.2579470982,12.22018319,49.45581861,IN_STRESS,0.01037501282,0.003176630323,0.02143561428,0.003176630323,0.03345609948,0.003176630323,-0.005668493067,-0.005874736793
42,2021-09-21,1.530118546,97.61904762,1.278204241,98.41269841,-0.04009514263,-0.04009514263,0.2077338457,15.33083736,25.84495249,IN_STRESS,0.000207462514,0.000207462514,-0.001222257138,-0.01150763727,0.03922692177,-0.01150763727,0.08221286219,-0.01150763727
43,2022-04-08,2.314829615,99.6031746,1.999961374,99.6031746,-0.03028931464,-0.03391205902,0.1291229531,14.22632698,38.46599413,IN_STRESS,-0.02144915249,-0.02185125156,-0.04258542524,-0.04810420751,-0.1103737691,-0.1103737691,-0.07111747161,-0.1298346055
