Spec,Window,Ridge,Cluster,HorizonDays,Events,MeanForwardReturn,MeanWorstReturn,PctNegativeForwardReturn,PctWorstBelowMinus5Pct
W126_R0.0001,126,0.0001,4,5,1,-0.02212634266,-0.02212634266,1,0
W126_R0.0001,126,0.0001,4,10,1,-0.02466517538,-0.02466517538,1,0
W126_R0.0001,126,0.0001,4,20,1,-0.0370960345,-0.0451501263,1,0
W126_R0.0001,126,0.0001,4,40,1,-0.05069900903,-0.05467430231,1,1
W126_R0.001,126,0.001,1,5,3,-0.00100567117,-0.01260012044,0.3333333333,0
W126_R0.001,126,0.001,1,10,3,0.01118773431,-0.0190214687,0.3333333333,0
W126_R0.001,126,0.001,1,20,3,0.008494754693,-0.0190214687,0.3333333333,0
W126_R0.001,126,0.001,1,40,3,0.02997909322,-0.0190214687,0.3333333333,0
W126_R0.001,126,0.001,2,5,6,0.001024600504,-0.004036335672,0.3333333333,0
W126_R0.001,126,0.001,2,10,6,0.008326468011,-0.006682688543,0.5,0
W126_R0.001,126,0.001,2,20,6,0.01514105215,-0.007777243662,0.3333333333,0
W126_R0.001,126,0.001,2,40,6,0.03713745375,-0.01421096791,0,0
W126_R0.001,126,0.001,3,5,4,-0.004790571002,-0.01135288182,0.75,0
W126_R0.001,126,0.001,3,10,4,-0.01034608034,-0.02929182165,0.75,0
W126_R0.001,126,0.001,3,20,4,-0.01296166105,-0.03979377237,0.5,0.5
W126_R0.001,126,0.001,3,40,4,0.04737506825,-0.04006079334,0.25,0.5
W126_R0.001,126,0.001,4,5,1,-0.02212634266,-0.02212634266,1,0
W126_R0.001,126,0.001,4,10,1,-0.02466517538,-0.02466517538,1,0
W126_R0.001,126,0.001,4,20,1,-0.0370960345,-0.0451501263,1,0
W126_R0.001,126,0.001,4,40,1,-0.05069900903,-0.05467430231,1,1
W126_R0.01,126,0.01,1,5,3,-0.00100567117,-0.01260012044,0.3333333333,0
W126_R0.01,126,0.01,1,10,3,0.01118773431,-0.0190214687,0.3333333333,0
W126_R0.01,126,0.01,1,20,3,0.008494754693,-0.0190214687,0.3333333333,0
W126_R0.01,126,0.01,1,40,3,0.02997909322,-0.0190214687,0.3333333333,0
W126_R0.01,126,0.01,2,5,6,0.001024600504,-0.004036335672,0.3333333333,0
W126_R0.01,126,0.01,2,10,6,0.008326468011,-0.006682688543,0.5,0
W126_R0.01,126,0.01,2,20,6,0.01514105215,-0.007777243662,0.3333333333,0
W126_R0.01,126,0.01,2,40,6,0.03713745375,-0.01421096791,0,0
W126_R0.01,126,0.01,3,5,4,-0.004790571002,-0.01135288182,0.75,0
W126_R0.01,126,0.01,3,10,4,-0.01034608034,-0.02929182165,0.75,0
W126_R0.01,126,0.01,3,20,4,-0.01296166105,-0.03979377237,0.5,0.5
W126_R0.01,126,0.01,3,40,4,0.04737506825,-0.04006079334,0.25,0.5
W126_R0.01,126,0.01,4,5,1,-0.02212634266,-0.02212634266,1,0
W126_R0.01,126,0.01,4,10,1,-0.02466517538,-0.02466517538,1,0
W126_R0.01,126,0.01,4,20,1,-0.0370960345,-0.0451501263,1,0
W126_R0.01,126,0.01,4,40,1,-0.05069900903,-0.05467430231,1,1
W252_R0.0001,252,0.0001,1,5,5,0.003555812484,-0.002975249822,0.2,0
W252_R0.0001,252,0.0001,1,10,5,0.001883010948,-0.01018830158,0.4,0
W252_R0.0001,252,0.0001,1,20,5,-0.01314131051,-0.02284084953,0.8,0
W252_R0.0001,252,0.0001,1,40,5,-0.007564680774,-0.05633625591,0.4,0.4
W252_R0.0001,252,0.0001,2,5,4,0.01876432962,-0.002069402797,0,0
