StateClass,HorizonDays,Events,MeanForwardReturn,MedianForwardReturn,MeanWorstReturn,MedianWorstReturn,PctNegativeForwardReturn,PctWorstBelowMinus5Pct,PctWorstBelowMinus10Pct
IN_STRESS,5,39,0.01126039636,0.00722139377,-0.006342699221,-0.002437368124,0.2564102564,0.02564102564,0
IN_STRESS,10,39,0.02159979544,0.01804255815,-0.009938401704,-0.00646623662,0.2051282051,0.07692307692,0
IN_STRESS,20,39,0.02418723551,0.02737644863,-0.01976237933,-0.006810227057,0.2051282051,0.1282051282,0.05128205128
IN_STRESS,40,39,0.02769315489,0.02497679248,-0.03320476198,-0.01312503541,0.2820512821,0.2820512821,0.05128205128
PRECURSOR,5,14,-0.002725574082,-0.003048935632,-0.00925401752,-0.008603037816,0.5,0,0
PRECURSOR,10,14,0.001248036733,-0.002555451349,-0.01707092852,-0.011470105,0.5714285714,0,0
PRECURSOR,20,14,0.00195627845,0.01368873874,-0.0220037917,-0.011470105,0.4285714286,0.1428571429,0
PRECURSOR,40,14,0.03225451901,0.03935025057,-0.02551769209,-0.01827017524,0.2142857143,0.2142857143,0
